CODIGO DA CONTA,DESCRICAO DA CONTA,DATA,VALOR
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2023-03-31 00:00:00,2315342.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2023-06-30 00:00:00,3174294.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2023-09-30 00:00:00,5124747.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2023-12-31 00:00:00,7021823.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2024-03-31 00:00:00,1578370.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2024-03-31 00:00:00.1,1578370.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2024-06-30 00:00:00,3078816.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2024-09-30 00:00:00,4670283.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2024-12-31 00:00:00,7252269.0
6.01,CAIXA LIQUIDO ATIVIDADES OPERACIONAIS,2025-03-31 00:00:00,540543.0
6.01.01,CAIXA GERADO NAS OPERACOES,2010-03-31 00:00:00,222507.0
6.01.01,CAIXA GERADO NAS OPERACOES,2010-06-30 00:00:00,439233.0
6.01.01,CAIXA GERADO NAS OPERACOES,2010-09-30 00:00:00,714706.0
6.01.01,CAIXA GERADO NAS OPERACOES,2010-12-31 00:00:00,996724.0
6.01.01,CAIXA GERADO NAS OPERACOES,2011-03-31 00:00:00,228227.0
6.01.01,CAIXA GERADO NAS OPERACOES,2011-06-30 00:00:00,505398.0
6.01.01,CAIXA GERADO NAS OPERACOES,2011-09-30 00:00:00,761640.0
6.01.01,CAIXA GERADO NAS OPERACOES,2011-12-31 00:00:00,1205638.0
6.01.01,CAIXA GERADO NAS OPERACOES,2012-03-31 00:00:00,267172.0
6.01.01,CAIXA GERADO NAS OPERACOES,2012-06-30 00:00:00,530431.0
6.01.01,CAIXA GERADO NAS OPERACOES,2012-09-30 00:00:00,854736.0
6.01.01,CAIXA GERADO NAS OPERACOES,2012-12-31 00:00:00,1371291.0
6.01.01,CAIXA GERADO NAS OPERACOES,2013-03-31 00:00:00,337421.0
6.01.01,CAIXA GERADO NAS OPERACOES,2013-06-30 00:00:00,755187.0
6.01.01,CAIXA GERADO NAS OPERACOES,2013-09-30 00:00:00,1210396.0
6.01.01,CAIXA GERADO NAS OPERACOES,2013-12-31 00:00:00,1656597.0
6.01.01,CAIXA GERADO NAS OPERACOES,2014-03-31 00:00:00,410367.0
6.01.01,CAIXA GERADO NAS OPERACOES,2014-06-30 00:00:00,833811.0
6.01.01,CAIXA GERADO NAS OPERACOES,2014-09-30 00:00:00,1322940.0
6.01.01,CAIXA GERADO NAS OPERACOES,2014-12-31 00:00:00,1860652.0
